element,X,ROx,OS,Mw,IR-low,IR-high
Ag,1.93,0.7996,0,107.87,129,-
Ag,1.93,0.7996,1,107.87,129,-
Ag,1.93,0.653,2,107.87,108,-
Au,2.54,1.692,0,196.97,151,-
Au,2.54,1.692,1,196.97,151,-
Au,2.54,1.498,3,196.97,99,-
Cd,1.69,-0.4,0,112.41,109,-
Cd,1.69,-0.4,2,112.41,109,-
Ce,1.12,-2.336,0,140.12,115,-
Ce,1.12,-2.336,3,140.12,115,-
Ce,1.12,-0.87,4,140.12,101,-
Cu,1.9,0.52,0,63.55,91,-
Cu,1.9,0.52,1,63.55,91,-
Cu,1.9,0.337,2,63.55,87,-
Ge,2.01,-0.29,0,72.59,87,-
Ge,2.01,0.26,2,72.59,87,-
Ge,2.01,0.12,4,72.59,67,-
Mg,1.31,-2.7,0,24.31,86,-
Mg,1.31,-2.7,1,24.31,86,-
Mg,1.31,-2.372,2,24.31,86,-
Mn,1.55,-1.18,4,54.94,67,-
Mo,2.16,-0.15,0,95.94,83,-
Mo,2.16,-0.15,4,95.94,79,-
Mo,2.16,0.11,6,95.94,76,-
Ni,1.91,-0.25,0,58.7,83,-
Ni,1.91,-0.25,2,58.7,83,-
Pd,2.2,0.915,2,106.4,73,-
Pd,2.2,0.915,0,106.4,100,-
Pt,2.28,1.188,0,195.09,94,-
Pt,2.28,1.188,2,195.09,94,-
U,1.38,-1.798,0,238.03,116.5,-
U,1.38,-1.798,3,238.03,116.5,-
U,1.38,-1.5,4,238.03,103,-
V,1.63,-1.175,2,50.94,93,-
V,1.63,-0.87,4,50.94,72,-
V,1.63,0.958,5,50.94,68,-
W,2.36,-0.12,4,183.85,80,-
W,2.36,-0.0105,5,183.85,76,-
W,2.36,-0.09,6,183.85,74,-
Zn,1.65,-0.7618,2,65.38,88,-
Zn,1.65,-0.7618,2,65.38,88,-
Ir,2.2,1,0,192.22,82,-
Ir,2.2,1,3,192.22,82,-
Ir,2.2,0.93,4,192.22,76.5,-
Pr,1.13,-2,2,140.91,113,-
Pr,1.13,-2.353,3,140.91,113,-
Ta,1.5,-0.6,3,180.94,86,-
Ta,1.5,-0.81,5,180.94,78,-
Bi,2.02,-0.8,0,208.98,117,-
Bi,2.02,0.308,3,208.98,117,-
Bi,2.02,1.215,5,208.98,90,-
Hf,1.3,-1.7,4,178.49,85,-
Ga,1.81,-0.53,3,69.72,76,-
In,1.78,-0.34,3,114.82,94,-
Ti,1.54,-1.63,2,47.9,100,-
Ti,1.54,-1.37,3,47.9,81,-
Ti,1.54,-0.93,4,47.9,74.5,-
Sc,1.36,-2.077,3,44.96,88.5,-
Zr,1.33,-1.45,4,91.22,86,-
Nb,1.6,-1.099,3,92.91,86,-
Tc,1.9,0.4,2,98,78.5,-
Tc,1.9,0.272,4,98,78.5,-
Ru,2.2,0.45,2,101.07,82,-
Ru,2.2,0.38,3,101.07,82,-
Rh,2.28,0.8,3,102.91,80.5,-
La,1.1,-2.379,3,138.91,117.2,-
Re,1.9,0.3,3,186.21,77,-
Os,2.2,0.85,2,190.2,77,-
Os,2.2,-0.15,4,190.2,77,-
Os,2.2,0.85,8,190.2,53,-
Hg,2,0.85,2,200.59,116,-
Ac,1.1,-2.2,3,227.03,126,-
Tl,1.62,-0.34,1,204.37,164,-
Tl,1.62,0.72,3,204.37,102.5,-
Nd,1.14,-2.1,2,144.24,143,-
Nd,1.14,-2.232,3,144.24,112.3,-
Pm,1.13,-2.2,2,145,111,-
Pm,1.13,-2.423,3,145,111,-
Th,1.3,-1.73,3,232.04,108,-
Th,1.3,-1.899,4,232.04,108,-
Pa,1.5,-1.34,3,231.04,116,-
Co,1.88,-0.28,0,58.93,79,88.5
Co,1.88,-0.28,2,58.93,79,88.5
Co,1.88,-0.34,2.5,58.93,73.8,81.75
Co,1.88,-0.4,3,58.93,68.5,75
Fe,1.83,-0.44,0,55.85,75,92
Fe,1.83,-0.44,2,55.85,75,92
Fe,1.83,-0.239,2.5,55.85,72,85.25
Fe,1.83,-0.037,3,55.85,69,78.5
Mn,1.55,-1.185,0,54.94,81,97
Mn,1.55,-1.185,2,54.94,81,97
Mn,1.55,-1.185,2.5,54.94,69.5,87.75
Cr,1.66,-0.913,2,52,87,94
Cr,1.66,-0.744,3,52,75.5,-
Te,2.1,0.529,4,127.6,111,-
Tb,1.22,-2.391,3,158.93,106.3,-
